Postal Code,City,Average Price,Average Price Per Frontage Ft
M2L,Toronto,"$7,884,017",
M4Y,Toronto,"$5,149,990","$202,380"
M4W,Toronto,"$5,133,057",
M3B,Toronto,"$4,940,245","$26,373"
M2P,Toronto,"$4,291,286",
M2B,Toronto,"$4,288,000",
M5P,Toronto,"$4,227,342",
M5H,Toronto,"$3,859,000",
M3C,Toronto,"$3,815,441",
M4V,Toronto,"$3,679,924",
M4N,Toronto,"$3,633,240",
M5R,Toronto,"$3,235,670",
M4T,Toronto,"$3,087,257",
M5N,Toronto,"$3,035,088","$47,495"
M5B,Toronto,"$2,990,000",
M8X,Toronto,"$2,798,680","$42,200"
M4R,Toronto,"$2,750,786",
M2N,Toronto,"$2,530,614",
M4X,Toronto,"$2,510,571",
M2K,Toronto,"$2,493,134",
M9A,Toronto,"$2,456,182","$49,916"
M5M,Toronto,"$2,370,889","$58,548"
M4G,Toronto,"$2,302,633",
M5K,Toronto,"$2,298,000",
M1A,Toronto,"$2,150,000",
M5T,Toronto,"$2,143,300",
M4P,Toronto,"$2,072,931",
M2M,Toronto,"$2,034,834",
M6G,Toronto,"$2,001,391","$100,179"
M4S,Toronto,"$1,940,885",
M6A,Toronto,"$1,939,437","$39,777"
M6J,Toronto,"$1,896,848",
M2R,Toronto,"$1,865,123",
M3H,Toronto,"$1,811,697",
M6B,Toronto,"$1,809,840","$15,866"
M3A,Toronto,"$1,789,792",
M3R,Toronto,"$1,788,000",
M6R,Toronto,"$1,768,615","$55,560"
M5S,Toronto,"$1,731,122",
M4E,Toronto,"$1,713,382",
M5A,Toronto,"$1,691,184",
M8Y,Toronto,"$1,688,286","$31,656"
M5C,Toronto,"$1,679,000",
M8Z,Toronto,"$1,673,969",
M6S,Toronto,"$1,655,252","$52,000"
M9B,Toronto,"$1,645,396","$27,822"
M6C,Toronto,"$1,622,059",
M4M,Toronto,"$1,577,468",
M5V,Toronto,"$1,562,000",
M2J,Toronto,"$1,518,087","$28,993"
M6K,Toronto,"$1,510,889",
M3M,Toronto,"$1,495,827",
M9P,Toronto,"$1,491,210",
M4K,Toronto,"$1,490,863",
M1M,Toronto,"$1,490,623","$14,514"
M6P,Toronto,"$1,470,347","$70,980"
M8W,Toronto,"$1,466,442","$42,954"
M1C,Toronto,"$1,398,439",
M6H,Toronto,"$1,383,539",
M8V,Toronto,"$1,370,734",
M1S,Toronto,"$1,349,864",
M1N,Toronto,"$1,347,580","$47,108"
M4L,Toronto,"$1,333,066","$31,124"
M1T,Toronto,"$1,327,528",
M3K,Toronto,"$1,291,366",
M6L,Toronto,"$1,268,476","$17,239"
M9R,Toronto,"$1,262,608",
M4A,Toronto,"$1,248,904","$26,633"
M4B,Toronto,"$1,240,981","$18,747"
M1R,Toronto,"$1,233,699","$24,710"
M9C,Toronto,"$1,223,495","$22,497"
M4J,Toronto,"$1,211,930",
M2H,Toronto,"$1,164,212",
M1W,Toronto,"$1,133,332",
M1E,Toronto,"$1,117,190",
M6E,Toronto,"$1,104,644","$46,742"
M4C,Toronto,"$1,102,355","$49,954"
M6M,Toronto,"$1,096,770","$24,830"
M9L,Toronto,"$1,093,682","$23,225"
M9N,Toronto,"$1,076,768","$34,739"
M1X,Toronto,"$1,059,069",
M1J,Toronto,"$1,050,066",
M0S,Toronto,"$1,049,800",
M9M,Toronto,"$1,009,726","$17,385"
M9V,Toronto,"$1,008,081",
M1K,Toronto,"$1,001,801",
M3J,Toronto,"$1,000,613",
M1V,Toronto,"$995,609",
M1L,Toronto,"$972,470",
M1P,Toronto,"$944,585",
M9W,Toronto,"$943,334","$22,880"
M3L,Toronto,"$922,263",
M6N,Toronto,"$917,632","$41,666"
M1G,Toronto,"$916,688",
M1H,Toronto,"$908,161",
M1B,Toronto,"$888,677","$22,222"
M3N,Toronto,"$859,955",
M2A,Toronto,"$839,000",
M5E,Toronto,"$799,000",
M7K,Toronto,"$699,900","$17,497"
M1Y,Toronto,"$699,900",
